City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,EnergyClass,Price
Vilnius,Santariškės,Dangeručio g.,"66,69m2",3,3,2022,Brick,"Electric, aerothermal",Partial,A++,167000
Kaunas,Žemieji Šančiai,A. Juozapavičiaus pr.,"41,67m2",2,4,2023,Other,"Central, electric, central thermostat",Partial,A++,112509
Vilnius,Pašilaičiai,Sviliškių g.,"76,52m2",4,3,2023,Brick,Central thermostat,Fully,nan,202000
Vilnius,Pašilaičiai,Sviliškių g.,"34,77m2",1,3,2023,Brick,Central thermostat,Fully,A+,110000
Vilnius,Grigiškės,Vilniaus g.,"34,34m2",1,7,1990,Brick,Central,Not,nan,65000
Vilnius,Pašilaičiai,Sviliškių g.,"47,74m2",2,4,2022,Brick,Central thermostat,Fully,A+,145000
Vilnius,Pašilaičiai,Sviliškių g.,"39,87m2",2,2,2023,Brick,Central thermostat,Fully,A+,122000
Vilnius,Baltupiai,Ozo g.,"58,25m2",3,2,2022,Block house,Central thermostat,Fully,A,201000
Vilnius,Lazdynėliai,Lazdynėlių g.,"57,09m2",3,1,2022,Brick,Central thermostat,Partial,A+,142700
Vilnius,Lazdynėliai,Lazdynėlių g.,"37,94m2",2,1,2022,Brick,Central thermostat,Partial,nan,109600
Vilnius,Lazdynėliai,Lazdynėlių g.,"29,55m2",1,2,2022,Brick,Central thermostat,Partial,A+,88400
Kaunas,Centras,Šv. Gertrūdos g.,"49,61m2",2,1,1900,Brick,Gas,Fully,nan,89000
Vilnius,Antakalnis,Švyturio g.,"43,75m2",3,1,1962,Block house,Central,Fully,nan,135500
Vilnius,Santariškės,Dangeručio g.,"74,62m2",3,1,2022,Brick,"Electric, aerothermal",Partial,A++,186000
Vilnius,Santariškės,Dangeručio g.,"57,3m2",2,2,2023,Brick,"Electric, aerothermal",Partial,A++,153000
Vilnius,Santariškės,Dangeručio g.,"58,67m2",2,2,2023,Brick,"Electric, aerothermal",Partial,A++,156000
Vilnius,Žvėrynas,Kęstučio g.,62m2,2,2,2004,Brick,"Electric, sun energy, other",Fully,nan,225000
Kaunas,Freda,Europos pr.,"42,23m2",2,2,2023,Block house,Central thermostat,Partial,nan,103464
Vilnius,Lazdynėliai,Lazdynėlių g.,"40,56m2",2,2,2022,Brick,"Central, central thermostat",Fully,A+,132800
Vilnius,Viršuliškės,Viršilų g.,"25,86m2",1,9,2022,Block house,Central thermostat,Partial,A+,78800
Vilnius,Pašilaičiai,Sviliškių g.,"63,79m2",3,4,2023,Brick,Central thermostat,Fully,A+,182000
Vilnius,Pilaitė,Karaliaučiaus g.,"42,01m2",2,1,2023,Block house,Central thermostat,Partial,A++,114000
Vilnius,Antakalnis,L. Sapiegos g.,55m2,2,6,2020,Brick,Central thermostat,Fully,A++,332000
Vilnius,Žirmūnai,Žirmūnų g.,"67,11m2",3,12,1975,Brick,Central,Fully,nan,151000
Kaunas,Žaliakalnis,Studentų g.,"76,4m2",4,2,2022,Brick,Central thermostat,Partial,A++,175720
Vilnius,Lazdynėliai,Lazdynėlių g.,"38,09m2",2,2,2022,Brick,Central thermostat,Partial,nan,112400
Vilnius,Lazdynėliai,Lazdynėlių g.,"58,8m2",3,2,2022,Brick,Central thermostat,Partial,nan,149700
Vilnius,Lazdynėliai,Lazdynėlių g.,"29,56m2",1,2,2022,Brick,Central thermostat,Partial,A+,88100
Vilnius,Šnipiškės,Tuskulėnų g.,"38,46m2",2,1,2022,Brick,Central thermostat,Partial,A+,150200
Vilnius,Lazdynėliai,Lietaus g.,"30,43m2",1,2,2023,Brick,Central thermostat,Partial,A+,88000
Vilnius,Bajorai,Bajorų kel.,"36,97m2",2,1,2023,Brick,Central thermostat,Partial,A+,103500
Vilnius,Bajorai,Bajorų kel.,"21,64m2",1,3,2023,Brick,Central thermostat,Partial,A+,74000
Vilnius,Šnipiškės,Konstitucijos pr.,59m2,3,9,2004,Brick,Central thermostat,Fully,nan,185000
Kaunas,Panemunė,Kareivinių g.,49m2,2,2,1917,Brick,Gas,Fully,nan,140999
Vilnius,Lazdynėliai,Lazdynėlių g.,"50,93m2",2,1,2020,Brick,Central thermostat,Fully,nan,160000
Vilnius,Šeškinė,Ukmergės g.,"49,95m2",3,1,1979,Block house,Central,Fully,nan,133000
Vilnius,Šeškinė,Ukmergės g.,"45,28m2",2,2,2022,Brick,Central,Partial,A,94000
