City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,Price
Vilnius,Santariškės,Dangeručio g.,66.69,3,3,2022,Brick,"Electric, aerothermal",Partial,167000
Kaunas,Žemieji Šančiai,A. Juozapavičiaus pr.,41.67,2,4,2023,Other,"Central, electric, central thermostat",Partial,112509
Vilnius,Pašilaičiai,Sviliškių g.,76.52,4,3,2023,Brick,Central thermostat,Fully,202000
Vilnius,Pašilaičiai,Sviliškių g.,34.77,1,3,2023,Brick,Central thermostat,Fully,110000
Vilnius,Grigiškės,Vilniaus g.,34.34,1,7,1990,Brick,Central,Not,65000
Vilnius,Pašilaičiai,Sviliškių g.,47.74,2,4,2022,Brick,Central thermostat,Fully,145000
Vilnius,Pašilaičiai,Sviliškių g.,39.87,2,2,2023,Brick,Central thermostat,Fully,122000
Vilnius,Baltupiai,Ozo g.,58.25,3,2,2022,Block house,Central thermostat,Fully,201000
Vilnius,Lazdynėliai,Lazdynėlių g.,57.09,3,1,2022,Brick,Central thermostat,Partial,142700
Vilnius,Lazdynėliai,Lazdynėlių g.,37.94,2,1,2022,Brick,Central thermostat,Partial,109600
Vilnius,Lazdynėliai,Lazdynėlių g.,29.55,1,2,2022,Brick,Central thermostat,Partial,88400
Kaunas,Centras,Šv. Gertrūdos g.,49.61,2,1,1900,Brick,Gas,Fully,89000
Vilnius,Antakalnis,Švyturio g.,43.75,3,1,1962,Block house,Central,Fully,135500
Vilnius,Santariškės,Dangeručio g.,74.62,3,1,2022,Brick,"Electric, aerothermal",Partial,186000
Vilnius,Santariškės,Dangeručio g.,57.3,2,2,2023,Brick,"Electric, aerothermal",Partial,153000
Vilnius,Santariškės,Dangeručio g.,58.67,2,2,2023,Brick,"Electric, aerothermal",Partial,156000
Vilnius,Žvėrynas,Kęstučio g.,62.0,2,2,2004,Brick,"Electric, sun energy, other",Fully,225000
Kaunas,Freda,Europos pr.,42.23,2,2,2023,Block house,Central thermostat,Partial,103464
Vilnius,Lazdynėliai,Lazdynėlių g.,40.56,2,2,2022,Brick,"Central, central thermostat",Fully,132800
Vilnius,Viršuliškės,Viršilų g.,25.86,1,9,2022,Block house,Central thermostat,Partial,78800
Vilnius,Pašilaičiai,Sviliškių g.,63.79,3,4,2023,Brick,Central thermostat,Fully,182000
Vilnius,Pilaitė,Karaliaučiaus g.,42.01,2,1,2023,Block house,Central thermostat,Partial,114000
Vilnius,Antakalnis,L. Sapiegos g.,55.0,2,6,2020,Brick,Central thermostat,Fully,332000
Vilnius,Žirmūnai,Žirmūnų g.,67.11,3,12,1975,Brick,Central,Fully,151000
Kaunas,Žaliakalnis,Studentų g.,76.4,4,2,2022,Brick,Central thermostat,Partial,175720
Vilnius,Lazdynėliai,Lazdynėlių g.,38.09,2,2,2022,Brick,Central thermostat,Partial,112400
Vilnius,Lazdynėliai,Lazdynėlių g.,58.8,3,2,2022,Brick,Central thermostat,Partial,149700
Vilnius,Lazdynėliai,Lazdynėlių g.,29.56,1,2,2022,Brick,Central thermostat,Partial,88100
Vilnius,Šnipiškės,Tuskulėnų g.,38.46,2,1,2022,Brick,Central thermostat,Partial,150200
Vilnius,Lazdynėliai,Lietaus g.,30.43,1,2,2023,Brick,Central thermostat,Partial,88000
Vilnius,Bajorai,Bajorų kel.,36.97,2,1,2023,Brick,Central thermostat,Partial,103500
Vilnius,Bajorai,Bajorų kel.,21.64,1,3,2023,Brick,Central thermostat,Partial,74000
Vilnius,Šnipiškės,Konstitucijos pr.,59.0,3,9,2004,Brick,Central thermostat,Fully,185000
Kaunas,Panemunė,Kareivinių g.,49.0,2,2,1917,Brick,Gas,Fully,140999
Vilnius,Lazdynėliai,Lazdynėlių g.,50.93,2,1,2020,Brick,Central thermostat,Fully,160000
Vilnius,Šeškinė,Ukmergės g.,49.95,3,1,1979,Block house,Central,Fully,133000
Vilnius,Šeškinė,Ukmergės g.,45.28,2,2,2022,Brick,Central,Partial,94000
Vilnius,Šeškinė,Ukmergės g.,21.66,1,3,2022,Brick,Central,Partial,48000
