City,District,Street,Area,Rooms,Floor,Year,Building Type,Heating,Furnishing,Price,Price per sqm
Vilnius,Santariškės,Dangeručio g.,66.69,3,3,2022,Brick,"Electric, aerothermal",Partial,167000,2504.1235567551357
Kaunas,Žemieji Šančiai,A. Juozapavičiaus pr.,41.67,2,4,2023,Other,"Central, electric, central thermostat",Partial,112509,2700.0
Vilnius,Pašilaičiai,Sviliškių g.,76.52,4,3,2023,Brick,Central thermostat,Fully,202000,2639.832723470988
Vilnius,Pašilaičiai,Sviliškių g.,34.77,1,3,2023,Brick,Central thermostat,Fully,110000,3163.646821972965
Vilnius,Grigiškės,Vilniaus g.,34.34,1,7,1990,Brick,Central,Not,65000,1892.836342457775
Vilnius,Pašilaičiai,Sviliškių g.,47.74,2,4,2022,Brick,Central thermostat,Fully,145000,3037.2852953498113
Vilnius,Pašilaičiai,Sviliškių g.,39.87,2,2,2023,Brick,Central thermostat,Fully,122000,3059.9448206671686
Vilnius,Baltupiai,Ozo g.,58.25,3,2,2022,Block house,Central thermostat,Fully,201000,3450.6437768240344
Vilnius,Lazdynėliai,Lazdynėlių g.,57.09,3,1,2022,Brick,Central thermostat,Partial,142700,2499.562094937817
Vilnius,Lazdynėliai,Lazdynėlių g.,37.94,2,1,2022,Brick,Central thermostat,Partial,109600,2888.7717448603057
Vilnius,Lazdynėliai,Lazdynėlių g.,29.55,1,2,2022,Brick,Central thermostat,Partial,88400,2991.539763113367
Kaunas,Centras,Šv. Gertrūdos g.,49.61,2,1,1900,Brick,Gas,Fully,89000,1793.9931465430357
Vilnius,Antakalnis,Švyturio g.,43.75,3,1,1962,Block house,Central,Fully,135500,3097.1428571428573
Vilnius,Santariškės,Dangeručio g.,74.62,3,1,2022,Brick,"Electric, aerothermal",Partial,186000,2492.6293218976143
Vilnius,Santariškės,Dangeručio g.,57.3,2,2,2023,Brick,"Electric, aerothermal",Partial,153000,2670.1570680628274
Vilnius,Santariškės,Dangeručio g.,58.67,2,2,2023,Brick,"Electric, aerothermal",Partial,156000,2658.939832964036
Vilnius,Žvėrynas,Kęstučio g.,62.0,2,2,2004,Brick,"Electric, sun energy, other",Fully,225000,3629.032258064516
Kaunas,Freda,Europos pr.,42.23,2,2,2023,Block house,Central thermostat,Partial,103464,2450.0118399242247
Vilnius,Lazdynėliai,Lazdynėlių g.,40.56,2,2,2022,Brick,"Central, central thermostat",Fully,132800,3274.161735700197
Vilnius,Viršuliškės,Viršilų g.,25.86,1,9,2022,Block house,Central thermostat,Partial,78800,3047.1771075019337
Vilnius,Pašilaičiai,Sviliškių g.,63.79,3,4,2023,Brick,Central thermostat,Fully,182000,2853.1117730051733
Vilnius,Pilaitė,Karaliaučiaus g.,42.01,2,1,2023,Block house,Central thermostat,Partial,114000,2713.639609616758
Vilnius,Antakalnis,L. Sapiegos g.,55.0,2,6,2020,Brick,Central thermostat,Fully,332000,6036.363636363636
Vilnius,Žirmūnai,Žirmūnų g.,67.11,3,12,1975,Brick,Central,Fully,151000,2250.0372522723887
Kaunas,Žaliakalnis,Studentų g.,76.4,4,2,2022,Brick,Central thermostat,Partial,175720,2300.0
Vilnius,Lazdynėliai,Lazdynėlių g.,38.09,2,2,2022,Brick,Central thermostat,Partial,112400,2950.9057495405614
Vilnius,Lazdynėliai,Lazdynėlių g.,58.8,3,2,2022,Brick,Central thermostat,Partial,149700,2545.918367346939
Vilnius,Lazdynėliai,Lazdynėlių g.,29.56,1,2,2022,Brick,Central thermostat,Partial,88100,2980.3788903924224
Vilnius,Šnipiškės,Tuskulėnų g.,38.46,2,1,2022,Brick,Central thermostat,Partial,150200,3905.35621424857
Vilnius,Lazdynėliai,Lietaus g.,30.43,1,2,2023,Brick,Central thermostat,Partial,88000,2891.883010187315
Vilnius,Bajorai,Bajorų kel.,36.97,2,1,2023,Brick,Central thermostat,Partial,103500,2799.5672166621584
Vilnius,Bajorai,Bajorų kel.,21.64,1,3,2023,Brick,Central thermostat,Partial,74000,3419.593345656192
Vilnius,Šnipiškės,Konstitucijos pr.,59.0,3,9,2004,Brick,Central thermostat,Fully,185000,3135.593220338983
Kaunas,Panemunė,Kareivinių g.,49.0,2,2,1917,Brick,Gas,Fully,140999,2877.530612244898
Vilnius,Lazdynėliai,Lazdynėlių g.,50.93,2,1,2020,Brick,Central thermostat,Fully,160000,3141.5668564696643
Vilnius,Šeškinė,Ukmergės g.,49.95,3,1,1979,Block house,Central,Fully,133000,2662.6626626626626
Vilnius,Šeškinė,Ukmergės g.,45.28,2,2,2022,Brick,Central,Partial,94000,2075.9717314487634
Vilnius,Šeškinė,Ukmergės g.,21.66,1,3,2022,Brick,Central,Partial,48000,2216.06648199446
Vilnius,Šeškinė,Ukmergės g.,37.43,2,2,2022,Brick,Central thermostat,Partial,78300,2091.904889126369
Vilnius,Bajorai,Bajorų kel.,55.07,3,3,2023,Brick,Central thermostat,Partial,154200,2800.0726348284
Vilnius,Antakalnis,Duburio g.,59.44,3,3,2022,Block house,Gas,Partial,142000,2388.963660834455
Vilnius,Pilaitė,Karaliaučiaus g.,35.08,1,5,2023,Brick,Central thermostat,Partial,86000,2451.5393386545043
Vilnius,Pilaitė,Karaliaučiaus g.,34.99,1,2,2023,Brick,Central thermostat,Fully,82000,2343.5267219205484
Vilnius,Lazdynėliai,Lazdynėlių g.,29.51,1,2,2022,Brick,Central thermostat,Partial,88100,2985.4286682480515
Vilnius,Lazdynėliai,Lazdynėlių g.,83.0,4,1,2023,Brick,"Electric, sun energy",Fully,179000,2156.626506024096
Vilnius,Lazdynai,Lazdynėlių g.,59.29,3,2,2022,Brick,Central thermostat,Partial,151200,2550.177095631641
Kaunas,Šilainiai,V. Bičiūno g.,70.0,3,2,2022,Brick,Aerothermal,Partial,119000,1700.0
Kaunas,Žaliakalnis,Žeimenos g.,45.62,2,3,2023,Brick,Central thermostat,Partial,109488,2400.0
Vilnius,Žirmūnai,Žirmūnų g.,60.92,3,5,1968,Block house,Central,Fully,127000,2084.701247537754
Kaunas,Dainava,Taikos pr.,56.35,2,7,2022,Brick,Central thermostat,Partial,129041,2289.9911268855367
Vilnius,Bajorai,Bajorų kel.,40.23,2,4,2023,Brick,Central thermostat,Partial,119100,2960.4772557792694
Klaipėda,Šauliai,Ragainės g.,45.0,2,2,2022,Brick,Central thermostat,Partial,86990,1933.111111111111
Vilnius,Bajorai,Bajorų kel.,32.73,2,2,2022,Monolithic,Central thermostat,Partial,102900,3143.9046746104495
Kaunas,Centras,A. Juozapavičiaus pr.,43.04,2,6,2021,Monolithic,Central thermostat,Partial,131272,3050.0
Palanga,Šventoji,Mokyklos g.,34.0,2,2,1987,Brick,"Electric, aerothermal",Partial,59880,1761.1764705882354
Kaunas,Centras,A. Mickevičiaus g.,91.02,4,3,1938,Brick,Central,Fully,279000,3065.260382333553
Kaunas,Centras,A. Mickevičiaus g.,39.61,2,4,2022,Monolithic,Central thermostat,Partial,141100,3562.2317596566522
Kaunas,Centras,A. Mickevičiaus g.,34.68,2,4,2022,Monolithic,Central thermostat,Fully,127100,3664.9365628604382
Kaunas,Centras,A. Mickevičiaus g.,29.77,1,3,2022,Monolithic,Central thermostat,Partial,102500,3443.063486731609
Kaunas,Centras,A. Mickevičiaus g.,45.26,2,3,2022,Monolithic,Central thermostat,Fully,161300,3563.853292090146
Kaunas,Centras,A. Mickevičiaus g.,38.6,2,1,2022,Brick,Gas,Fully,225000,5829.015544041451
Vilnius,Pašilaičiai,Virbeliškių g.,68.33,4,5,2015,Brick,Central thermostat,Fully,225000,3292.8435533440656
Kaunas,Dainava,Taikos pr.,77.98,4,1,1970,Block house,Central,Fully,99000,1269.5562964862784
Kaunas,Dainava,Taikos pr.,35.77,2,1,2022,Brick,Gas,Fully,179000,5004.193458205199
Kaunas,Dainava,Taikos pr.,47.0,2,1,2022,Monolithic,Central thermostat,Fully,157600,3353.191489361702
Kaunas,Dainava,Taikos pr.,47.0,2,1,2022,Monolithic,Central thermostat,Partial,141500,3010.6382978723404
Vilnius,Pilaitė,Karaliaučiaus g.,56.18,3,2,2023,Brick,Central thermostat,Partial,135000,2402.9903880384477
Kaunas,Centras,Vytauto pr.,56.0,3,4,2023,Brick,Central thermostat,Partial,184000,3285.714285714286
Kaunas,Centras,Vytauto pr.,56.0,3,3,2023,Brick,Central thermostat,Partial,176000,3142.8571428571427
Kaunas,Centras,Vytauto pr.,94.0,4,5,2023,Brick,Central thermostat,Partial,377000,4010.6382978723404
Vilnius,Šnipiškės,Šatrijos g.,38.51,2,4,2022,Brick,Central thermostat,Partial,140600,3650.9997403271877
Vilnius,Pašilaičiai,Pavilnionių g.,71.76,3,2,2023,Brick,Central thermostat,Partial,167200,2329.988851727982
Vilnius,Pašilaičiai,Pavilnionių g.,47.24,1,1,1992,Brick,Central thermostat,Fully,106000,2243.861134631668
Vilnius,Pašilaičiai,Pavilnionių g.,42.94,2,3,2022,Monolithic,Central thermostat,Partial,149000,3469.9580810433163
Vilnius,Naujamiestis,Vytenio g.,97.94,4,5,2023,Brick,Central thermostat,Partial,398000,4063.712477026751
Vilnius,Žirmūnai,Žirmūnų g.,48.85,3,2,1968,Block house,Central,Fully,129900,2659.160696008188
Vilnius,Bajorai,Bajorų kel.,21.64,1,3,2023,Brick,Central thermostat,Partial,71200,3290.2033271719038
Vilnius,Žirmūnai,Tuskulėnų g.,46.16,3,4,2022,Brick,Central thermostat,Partial,205600,4454.072790294627
Klaipėda,Melnragė,Otų g.,96.0,3,3,2001,Brick,Gas,Fully,499000,5197.916666666667
Klaipėda,Mažasis kaimelis,Senvagės g.,45.99,2,2,2022,Monolithic,Central,Partial,121900,2650.5762122200476
Vilnius,Naujamiestis,Algirdo g.,32.3,1,2,2023,Brick,Central thermostat,Partial,135600,4198.142414860681
Vilnius,Naujamiestis,Algirdo g.,85.33,3,2,2023,Brick,Central thermostat,Partial,315700,3699.7538966365873
Vilnius,Senamiestis,Polocko g.,63.52,2,4,2021,Brick,Central thermostat,Partial,317600,5000.0
Vilnius,Baltupiai,Didlaukio g.,71.35,3,2,2022,Brick,Central thermostat,Partial,177600,2489.138051857043
Kaunas,Žaliakalnis,Žeimenos g.,55.97,2,3,2022,Brick,Central thermostat,Partial,143000,2554.9401465070573
